book,문단식별자,문장식별자,원문,번역문,marker,llm_judgment,marker_type,analysis_level
시경집전(상),1195,2790,彼其之子여 邦之彦兮로다,저 그 사람이여 나라의 아름다운 선비로다,로다,True,로다,Level1
시경집전(상),1210,2824,其相與警戒之言이 如此하니 則不留於宴昵之私를 可知矣로다,"그 서로 더불어 경계한 말이 이와 같으니, 연닐(宴昵)의 사사로움에 얽매이지 않음을 알 수 있다.",로다,False,로다,Level1
시경집전(상),1213,2827,琴瑟在御 莫不靜好로다,자리에 있는 금슬(琴瑟)도 고요하고 아름답지 않음이 없도다,로다,True,로다,Level1
시경집전(상),1215,2833,其和樂而不淫을 可見矣로다,화락(和樂)하면서도 지나치지 않음을 볼 수 있도다.,로다,True,로다,Level1
시경집전(상),1222,2850,有女同車하니 顔如舜華로다,여자가 수레를 함께 타니 얼굴이 무궁화꽃 같도다,로다,True,로다,Level1
시경집전(상),1223,2851,將翺將翔하나니 佩玉瓊琚로다,장차 고상(翺翔)하나니 패옥(佩玉)이 경거(瓊琚)로다,로다,True,로다,Level1
시경집전(상),1224,2852,彼美孟姜이여 洵美且都로다,저 아름다운 맹강(孟姜)이여 진실로 아름답고 또 한아(閑雅)하도다,로다,True,로다,Level1
시경집전(상),1227,2860,有女同行하니 顔如舜英이로다,여자가 함께 길을 걸어가니 얼굴이 무궁화꽃 같도다,로다,True,로다,Level1
시경집전(상),1228,2861,將翺翔하나니 佩玉將將이로다,장차 고상(翺翔)하나니 패옥(佩玉)소리가 장장(將將)히 울리도다,로다,True,로다,Level1
시경집전(상),1229,2862,彼美孟姜이여 德音不忘이로다,저 아름다운 맹강(孟姜)이여 덕음(德音)을 잊지 못하리로다,로다,True,로다,Level1
시경집전(상),1257,2920,狂童之狂也且로다,광동(狂童)이 미쳤도다,로다,False,로다,Level1
시경집전(상),1262,2930,狂童之狂也且로다,광동(狂童)이 미쳤도다,로다,False,로다,Level1
시경집전(상),1280,2957,東門之墠에 茹藘在阪이로다,동문(東門)의 터닦은 곳에 꼭두서니가 산비탈에 있도다,로다,False,로다,Level1
시경집전(상),1281,2958,其室則邇나 其人甚遠이로다,그 집은 가까우나 그 사람은 매우 멀도다,로다,True,로다,Level1
시경집전(상),1283,2966,東門之栗에 有踐家室이로다,동문(東門)의 밤나무에 즐비한 집이로다,로다,False,로다,Level1
시경집전(상),1287,2973,風雨凄凄어늘 雞鳴喈喈로다,비바람이 처처(凄凄)하거늘 닭은 개개(喈喈)히 울도다,로다,True,로다,Level1
시경집전(상),1291,2981,風雨瀟瀟어늘 鷄鳴膠膠로다,비바람이 소소(瀟瀟)하거늘 닭은 교교(膠膠)히 울도다,로다,True,로다,Level1
시경집전(상),1294,2987,風雨如晦어늘 鷄鳴不已로다,비바람이 몰아쳐 어둡거늘 닭울음소리 그치지 않도다,로다,True,로다,Level1
시경집전(상),1300,3001,靑靑子佩여 悠悠我思로다,푸르고 푸른 그대의 패옥(佩玉)이여 아득하고 아득한 나의 그리움이로다,로다,True,로다,Level1
시경집전(상),1303,3006,挑兮達兮하니 在城闕兮로다,몸이 가볍고 방자하니 성궐(城闕)에 있도다,로다,True,로다,Level1
자치통감강목20,207,352,紹宗이 曰 明公이 興義兵以淸朝廷이어늘 今乃無故殲夷多士하여 失天下望이 非長策也로다,모용소종이 말하기를 “명공(明公)께서 의병(義兵)을 일으켜 조정(朝廷)을 깨끗하게 하셨는데 이제 무고한 많은 선비를 죽여서 천하(天下)에 명망을 잃게 되는 것은 장구한 계책이 아닙니다.”라고 하였다.,로다,False,로다,Level1
자치통감강목20,215,369,賀拔岳이 進曰 將軍이 首擧義兵하여 志除姦逆이라가 大勲未立하여 遽有此謀하니 正可速禍요 未見其福이로다,하발악(賀拔岳)이 나아가 말하기를 “장군께서 앞장서서 의병(義兵)을 일으켜서 간사한 역적을 제거하는 데 뜻을 두셨다가 큰 공을 세우기도 전에 갑자기 이런 모의를 하시니 곧바로 화를 자초하는 것이고 그 복은 볼 수 없을 것입니다.”라고 하였다.,로다,False,로다,Level1
자치통감강목20,225,388,後數日에 榮이 與魏主登髙하여 見宮闕壯麗하고 列樹成行(항)하고 乃歎曰 元尙書之言이 不可奪也로다,며칠 후에 이주영이 위주(魏主)와 함께 높은 곳에 올라가서 낙양의 궁궐(宮闕)이 웅장하고 화려하며 늘어선 나무들이 줄지어 있는 것을 보고 마침내 탄식하기를 “원상서(元尙書)(원심(元諶))의 말은 바꿀 수 없도다.”라고 하였다.,로다,True,로다,Level1
자치통감강목20,236,409,此言이 旣行에 世之違犯正理者가 輒以自解하니 其賊道가 多矣로다,이 말이 이미 행해지고 나자 세상의 바른 이치를 어기는 자가 번번이 이것을 가지고 자신을 해명하니 도(道)를 해치는 것이 많다.,로다,False,로다,Level1
자치통감강목20,240,417,祖瑩之言이 違道甚矣로다,조형(祖瑩)의 말이 도(道)에 어긋남이 심하다.,로다,False,로다,Level1
자치통감강목20,240,419,正家者는 治國之本이요 初政者는 治亂之原이어늘 魏子攸가 惑於邪説而不能辨하고 惕於强臣而不能正하니 早墜厥命이 於是乎在矣로다,"집안을 바로잡는 것은 국가를 다스리는 근본이고 초기의 정무는 난리를 다스리는 시원인데, 북위(北魏) 원자유(元子攸)가 사설(邪説)에 미혹되어 분별하지 못하고 강신(强臣)을 두려워하여 바로잡지 못하였으니, 천명을 일찌감치 추락시킨 것이 여기에 있다.’라고 하였다.”",로다,True,로다,Level1
자치통감강목20,242,421,榮이 令元天穆하여 入洛陽하여 朝廷要官을 悉用其腹心爲之로다,이주영(爾朱榮)이 원천목(元天穆)에게 명령하여 낙양(洛陽)에 들어가서 조정(朝廷)의 중요한 관직을 모두 그의 심복으로 등용하게 하였다.,로다,True,로다,Level1
자치통감강목20,277,473,他日에 困於叛臣하여 卒餓而死하니 其禍가 有自來矣로다,"뒷날 〈양(梁) 무제(武帝)가〉 반역한 신하에게 곤궁함을 당하여 마침내 굶어서 죽었으니, 그 재앙이 유래가 있는 것입니다.”",로다,False,로다,Level1
자치통감강목20,399,693,及聞關隴이 平하고 謂臨淮王(或)［彧］曰 天下에 便無賊矣로다,"〈위주(魏主)는〉 관(關)ㆍ농(隴) 지역이 평정되었다는 소식을 듣고 임회왕(臨淮王) 원욱(元彧)에게 말하기를 “천하(天下)에 곧 도적이 없어지겠구나.”라고 하니,",로다,False,로다,Level1
자치통감강목20,457,800,祖仁私謂子弟曰 今日에 富貴至矣로다,구조인(寇祖仁)이 사사로이 자제(子弟)들에게 말하기를 “금일 부귀(富貴)가 닥쳐올 것이다.”라고 하였다.,로다,False,로다,Level1
자치통감강목20,628,1094,髙歡이 初至에 圖之不難이로다,"고환이 막 도착했으므로 도모하기가 어렵지 않을 것이다.”라고 하자,",로다,False,로다,Level1
자치통감강목20,775,1320,歡이 乃集百官耆老하여 議所立할새 時에 淸河王亶이 出入已稱警蹕이라 歡이 醜之하여 遂立其世子善見爲帝하고 謂亶曰 欲立王이나 不如立王之子로다,"고환이 백관(百官)과 원로들을 모아 옹립할 황제에 대해 논의할 때, 청하왕(淸河王) 원단(元亶)이 출입할 적에 이미 경필(警蹕)이라 칭했으므로 고환이 이를 추하게 여겨 결국 〈원단의〉 세자(世子) 원선견(元善見)을 황제로 옹립하고, 원단에게 이르기를, “왕을 황제로 세우고 싶었으나 왕의 아들을 세우는 것만 못하다.”라고 하였다.",로다,False,로다,Level1
자치통감강목20,954,1584,我與國家로 同安共危어니 以此獲罪라도 亦無所恨이로다,"나는 국가와 그 안위를 함께하고 있으니, 이 일 때문에 죄를 얻더라도 아무 여한이 없다.”라고 했다.",로다,False,로다,Level1
자치통감강목20,1129,1827,敬容於是乎不忠之甚矣로다,하경용은 이 때문에 불충이 극심하다.”,로다,False,로다,Level1
자치통감강목20,1193,1918,梁高祖之不終也는 宜哉로다,“양(梁)나라 고조(高祖)(소연(蕭衍))가 유종의 미를 거두지 못한 것은 당연하다.,로다,False,로다,Level1
